Date/Time,Word Count,en,fr
2023.07.03-17.11.03,497,497,0
2023.07.03-18.15.18,491,491,0
2023.07.03-19.42.55,490,490,0
2023.07.03-19.47.45,487,487,0
2023.07.03-19.52.24,487,487,4
2023.07.03-20.54.47,474,474,205
2023.07.03-21.04.03,548,548,205
2023.07.03-21.12.54,548,548,258
2023.07.03-21.19.01,549,549,258
2023.07.04-16.18.53,715,715,259
2023.07.04-16.40.39,715,715,509
2023.07.28-13.42.22,817,817,487
2023.07.28-13.46.52,814,814,501
2023.07.28-13.50.31,817,817,508
2023.07.28-13.52.49,804,804,477
2023.07.28-13.53.56,803,803,477
2023.07.28-13.57.11,836,836,464
2023.07.28-14.16.12,836,836,689
